is_control,control_index,is_cross_lingual,file_path,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,test_loss,test_accuracy,test_f1,train_mse,train_rmse,train_r2,val_mse,val_rmse,val_r2,test_mse,test_rmse,test_r2,layer,model_type,task,task_type,language,submetric,train_language,eval_language,train_mae,val_mae,test_mae,train_ar_mse,train_ar_rmse,train_ar_mae,train_ar_r2,train_en_mse,train_en_rmse,train_en_mae,train_en_r2,train_fi_mse,train_fi_rmse,train_fi_mae,train_fi_r2,train_id_mse,train_id_rmse,train_id_mae,train_id_r2,train_ja_mse,train_ja_rmse,train_ja_mae,train_ja_r2,train_ko_mse,train_ko_rmse,train_ko_mae,train_ko_r2,train_ru_mse,train_ru_rmse,train_ru_mae,train_ru_r2,val_ar_mse,val_ar_rmse,val_ar_mae,val_ar_r2,val_en_mse,val_en_rmse,val_en_mae,val_en_r2,val_fi_mse,val_fi_rmse,val_fi_mae,val_fi_r2,val_id_mse,val_id_rmse,val_id_mae,val_id_r2,val_ja_mse,val_ja_rmse,val_ja_mae,val_ja_r2,val_ko_mse,val_ko_rmse,val_ko_mae,val_ko_r2,val_ru_mse,val_ru_rmse,val_ru_mae,val_ru_r2,test_ar_mse,test_ar_rmse,test_ar_mae,test_ar_r2,test_en_mse,test_en_rmse,test_en_mae,test_en_r2,test_fi_mse,test_fi_rmse,test_fi_mae,test_fi_r2,test_id_mse,test_id_rmse,test_id_mae,test_id_r2,test_ja_mse,test_ja_rmse,test_ja_mae,test_ja_r2,test_ko_mse,test_ko_rmse,test_ko_mae,test_ko_r2,test_ru_mse,test_ru_rmse,test_ru_mae,test_ru_r2,train_ar_accuracy,train_ar_f1,train_en_accuracy,train_en_f1,train_fi_accuracy,train_fi_f1,train_id_accuracy,train_id_f1,train_ja_accuracy,train_ja_f1,train_ko_accuracy,train_ko_f1,train_ru_accuracy,train_ru_f1,val_ar_accuracy,val_ar_f1,val_en_accuracy,val_en_f1,val_fi_accuracy,val_fi_f1,val_id_accuracy,val_id_f1,val_ja_accuracy,val_ja_f1,val_ko_accuracy,val_ko_f1,val_ru_accuracy,val_ru_f1,test_ar_accuracy,test_ar_f1,test_en_accuracy,test_en_f1,test_fi_accuracy,test_fi_f1,test_id_accuracy,test_id_f1,test_ja_accuracy,test_ja_f1,test_ko_accuracy,test_ko_f1,test_ru_accuracy,test_ru_f1
False,,True,final_glot500_results/cross_lingual/ru_to_ar/question_type/results.json,0.13519096185763677,0.974036850921273,0.9739714525608733,0.2806080937385559,0.8888888888888888,0.8947368421052632,1.164474904537201,0.5064935064935064,0.4864864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ko/control1/results.json,0.019320475450280976,,,0.01974910944700241,,,0.024394976773432324,,,0.019628005102276802,0.14009998252061562,0.09986448287963867,0.020768025889992714,0.14411115810371075,-0.03189444541931152,0.024496454745531082,0.15651343311527954,-0.06451404094696045,11.0,lm_probe,single_submetric,regression,ko,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ko/control3/results.json,0.01895251362881762,,,0.018462132569402455,,,0.02129903861454555,,,0.019163163378834724,0.1384310780816025,0.12118202447891235,0.01971597410738468,0.14041358234652615,0.020378470420837402,0.021428797394037247,0.1463857827592463,0.06879359483718872,11.0,lm_probe,single_submetric,regression,ko,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ko/control2/results.json,0.019115104616812848,,,0.020362800266593695,,,0.024866339484495775,,,0.019443092867732048,0.13943849134199657,0.10834455490112305,0.02185426652431488,0.14783188602028616,-0.08586621284484863,0.024979986250400543,0.15805058130358313,-0.0855262279510498,11.0,lm_probe,single_submetric,regression,ko,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/fi/control1/results.json,0.007644852052132289,,,0.023901668842881918,,,0.030066406088215963,,,0.007655752822756767,0.087497158941058,-0.013220071792602539,0.023962222039699554,0.1547973579868195,-0.3932318687438965,0.03011392615735531,0.173533645606134,-0.66042160987854,11.0,lm_probe,single_submetric,regression,fi,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/fi/control3/results.json,0.007740797322864334,,,0.020022233482450247,,,0.024003344987119948,,,0.007733326870948076,0.08793933631173297,-0.023486852645874023,0.02005213126540184,0.14160554814484438,-0.16588819026947021,0.024057071655988693,0.15510342245092046,-0.3264586925506592,11.0,lm_probe,single_submetric,regression,fi,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/fi/control2/results.json,0.007280321153812111,,,0.02060909103602171,,,0.025761684935007776,,,0.007288336753845215,0.08537175618344287,0.035406529903411865,0.020639104768633842,0.14366316427196585,-0.20001649856567383,0.0258565042167902,0.16079957778797244,-0.42567574977874756,11.0,lm_probe,single_submetric,regression,fi,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ar/control1/results.json,0.02055230446248537,,,0.0545738705744346,,,0.06530255302786828,,,0.02019691839814186,0.14211586258451891,0.04209184646606445,0.05205748230218887,0.22816108849273328,-0.060558438301086426,0.06347095221281052,0.2519344204605844,-0.37041759490966797,11.0,lm_probe,single_submetric,regression,ar,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ar/control3/results.json,0.019300050693490202,,,0.050572838013370834,,,0.06248052231967449,,,0.019353870302438736,0.13911818825171185,0.08207625150680542,0.04809783771634102,0.21931219235678853,0.020110726356506348,0.06063958629965782,0.24625106355030799,-0.3092848062515259,11.0,lm_probe,single_submetric,regression,ar,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2.0,False,final_glot500_results/by_layer/layer_11/avg_links_len/ar/control2/results.json,0.02056516015103885,,,0.05299308275183042,,,0.06713397987186909,,,0.0206699687987566,0.14377054218008847,0.01965576410293579,0.05065765604376793,0.2250725572871289,-0.03203999996185303,0.06519351154565811,0.25533020100579196,-0.40760982036590576,11.0,lm_probe,single_submetric,regression,ar,avg_links_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
