experiment_id,language,task,layer_index,hidden_size,dropout,learning_rate,metric,value
1,ar,complexity,1,10,0.01,1e-4,loss,0.05135816931724548
1,ar,complexity,1,10,0.01,1e-4,mse,0.05181798338890076
1,ar,complexity,1,10,0.01,1e-4,rmse,0.22763563734376205
1,ar,complexity,1,10,0.01,1e-4,r2,0.10668104887008667
2,ar,complexity,1,10,0.01,2e-5,loss,0.09872619360685349
2,ar,complexity,1,10,0.01,2e-5,mse,0.09938938915729523
2,ar,complexity,1,10,0.01,2e-5,rmse,0.31526082718488074
2,ar,complexity,1,10,0.01,2e-5,r2,-0.7134288549423218
3,ar,complexity,1,10,0.1,1e-4,loss,0.044737870991230014
3,ar,complexity,1,10,0.1,1e-4,mse,0.04490816965699196
3,ar,complexity,1,10,0.1,1e-4,rmse,0.2119154776249058
3,ar,complexity,1,10,0.1,1e-4,r2,0.22580313682556152
4,ar,complexity,1,10,0.1,2e-5,loss,0.09520867019891739
4,ar,complexity,1,10,0.1,2e-5,mse,0.09598752111196518
4,ar,complexity,1,10,0.1,2e-5,rmse,0.30981852932315906
4,ar,complexity,1,10,0.1,2e-5,r2,-0.6547821760177612
5,ar,complexity,1,10,0.25,1e-4,loss,0.0426111489534378
5,ar,complexity,1,10,0.25,1e-4,mse,0.04246880114078522
5,ar,complexity,1,10,0.25,1e-4,rmse,0.20607959904072315
5,ar,complexity,1,10,0.25,1e-4,r2,0.26785677671432495
6,ar,complexity,1,10,0.25,2e-5,loss,0.09988709539175034
6,ar,complexity,1,10,0.25,2e-5,mse,0.10078723728656769
6,ar,complexity,1,10,0.25,2e-5,rmse,0.31747005730709105
6,ar,complexity,1,10,0.25,2e-5,r2,-0.7375271320343018
7,ar,complexity,1,50,0.01,1e-4,loss,0.0440741129219532
7,ar,complexity,1,50,0.01,1e-4,mse,0.04433929920196533
7,ar,complexity,1,50,0.01,1e-4,rmse,0.21056898917448727
7,ar,complexity,1,50,0.01,1e-4,r2,0.2356102466583252
8,ar,complexity,1,50,0.01,2e-5,loss,0.05708642974495888
8,ar,complexity,1,50,0.01,2e-5,mse,0.05740608647465706
8,ar,complexity,1,50,0.01,2e-5,rmse,0.2395956729047022
8,ar,complexity,1,50,0.01,2e-5,r2,0.010344624519348145
9,ar,complexity,1,50,0.1,1e-4,loss,0.041637126356363297
9,ar,complexity,1,50,0.1,1e-4,mse,0.04169553145766258
9,ar,complexity,1,50,0.1,1e-4,rmse,0.20419483700050445
9,ar,complexity,1,50,0.1,1e-4,r2,0.28118759393692017
10,ar,complexity,1,50,0.1,2e-5,loss,0.05923213213682175
10,ar,complexity,1,50,0.1,2e-5,mse,0.05924493074417114
10,ar,complexity,1,50,0.1,2e-5,rmse,0.24340281580986514
10,ar,complexity,1,50,0.1,2e-5,r2,-0.02135622501373291
11,ar,complexity,1,50,0.25,1e-4,loss,0.03925025761127472
11,ar,complexity,1,50,0.25,1e-4,mse,0.03923650458455086
11,ar,complexity,1,50,0.25,1e-4,rmse,0.19808206527737654
11,ar,complexity,1,50,0.25,1e-4,r2,0.3235800862312317
12,ar,complexity,1,50,0.25,2e-5,loss,0.072632896900177
12,ar,complexity,1,50,0.25,2e-5,mse,0.07275959104299545
