experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ar,question_type,None,None,1,loss,0.6744702458381653
probe,ar,question_type,None,None,1,accuracy,0.8571428571428571
probe,ar,question_type,None,None,1,f1,0.8
probe,ar,question_type,None,None,1,precision,0.6666666666666666
probe,ar,question_type,None,None,1,recall,1.0
probe,ar,complexity,None,None,1,loss,0.0341235987842083
probe,ar,complexity,None,None,1,mse,0.03399290516972542
probe,ar,complexity,None,None,1,rmse,0.1843716495823732
probe,ar,complexity,None,None,1,r2,0.4139774441719055
probe,en,question_type,None,None,1,loss,0.5411098556859153
probe,en,question_type,None,None,1,accuracy,0.9363636363636364
probe,en,question_type,None,None,1,f1,0.9345794392523364
probe,en,question_type,None,None,1,precision,0.9615384615384616
probe,en,question_type,None,None,1,recall,0.9090909090909091
probe,en,complexity,None,None,1,loss,0.016418337688914368
probe,en,complexity,None,None,1,mse,0.0165211483836174
probe,en,complexity,None,None,1,rmse,0.12853461939733357
probe,en,complexity,None,None,1,r2,0.5713092088699341
probe,fi,question_type,None,None,1,loss,0.5635023202214923
probe,fi,question_type,None,None,1,accuracy,0.8909090909090909
probe,fi,question_type,None,None,1,f1,0.8928571428571429
probe,fi,question_type,None,None,1,precision,0.8771929824561403
probe,fi,question_type,None,None,1,recall,0.9090909090909091
probe,fi,complexity,None,None,1,loss,0.02526523039809295
probe,fi,complexity,None,None,1,mse,0.02535470761358738
probe,fi,complexity,None,None,1,rmse,0.15923161625000037
probe,fi,complexity,None,None,1,r2,0.35789740085601807
probe,id,question_type,None,None,1,loss,0.6477775233132499
probe,id,question_type,None,None,1,accuracy,0.6909090909090909
probe,id,question_type,None,None,1,f1,0.6851851851851852
probe,id,question_type,None,None,1,precision,0.6981132075471698
probe,id,question_type,None,None,1,recall,0.6727272727272727
probe,id,complexity,None,None,1,loss,0.02435546461492777
probe,id,complexity,None,None,1,mse,0.024353371933102608
probe,id,complexity,None,None,1,rmse,0.1560556693398308
probe,id,complexity,None,None,1,r2,0.40272456407546997
probe,ja,question_type,None,None,1,loss,0.6093714932600657
probe,ja,question_type,None,None,1,accuracy,0.75
probe,ja,question_type,None,None,1,f1,0.8099173553719008
probe,ja,question_type,None,None,1,precision,0.7424242424242424
probe,ja,question_type,None,None,1,recall,0.8909090909090909
probe,ja,complexity,None,None,1,loss,0.018270044432332117
probe,ja,complexity,None,None,1,mse,0.018212871626019478
probe,ja,complexity,None,None,1,rmse,0.13495507262055575
probe,ja,complexity,None,None,1,r2,0.6501463651657104
probe,ko,question_type,None,None,1,loss,0.654461852141789
probe,ko,question_type,None,None,1,accuracy,0.6363636363636364
probe,ko,question_type,None,None,1,f1,0.574468085106383
probe,ko,question_type,None,None,1,precision,0.6923076923076923
probe,ko,question_type,None,None,1,recall,0.4909090909090909
probe,ko,complexity,None,None,1,loss,0.020807606833321706
probe,ko,complexity,None,None,1,mse,0.02085908316075802
probe,ko,complexity,None,None,1,rmse,0.14442673977057718
probe,ko,complexity,None,None,1,r2,0.35232168436050415
probe,ru,question_type,None,None,1,loss,0.5435555492128644
probe,ru,question_type,None,None,1,accuracy,0.9090909090909091
probe,ru,question_type,None,None,1,f1,0.9019607843137255
probe,ru,question_type,None,None,1,precision,0.9787234042553191
probe,ru,question_type,None,None,1,recall,0.8363636363636363
probe,ru,complexity,None,None,1,loss,0.04549609763281686
probe,ru,complexity,None,None,1,mse,0.045390259474515915
probe,ru,complexity,None,None,1,rmse,0.21304989902489022
probe,ru,complexity,None,None,1,r2,-0.14810383319854736
probe,ar,question_type,None,None,2,loss,0.6869389533996582
probe,ar,question_type,None,None,2,accuracy,0.8571428571428571
