Language,Model,Submetric,Real_MSE,Control_MSE,Raw_Difference,Normalized_Difference
Arabic,Ridge,avg_links_len,0.0396468728597336,0.0646341133557566,0.024987240496022994,0.3865952389334899
English,Ridge,avg_links_len,0.0063291946217137,0.011583596841847267,0.005254402220133567,0.4536071387732822
Finnish,Ridge,avg_links_len,0.0178179830623748,0.023668076544117633,0.005850093481742834,0.24717232390381094
Indonesian,Ridge,avg_links_len,0.0263448763543937,0.03626443428258713,0.00991955792819343,0.27353405959393234
Japanese,Ridge,avg_links_len,0.0757571722221237,0.10684284649103139,0.03108567426890768,0.29094764216635766
Korean,Ridge,avg_links_len,0.0200660760247972,0.027028437933513266,0.0069623619087160644,0.2575939433067736
Russian,Ridge,avg_links_len,0.0188515791466277,0.021161362220079333,0.002309783073451633,0.10915096341292974
Arabic,Ridge,avg_max_depth,0.027878701529974,0.05338364831267467,0.02550494678270067,0.4777670239642488
English,Ridge,avg_max_depth,0.0128012127455848,0.031778281823204135,0.018977069077619334,0.5971710233799518
Finnish,Ridge,avg_max_depth,0.0300651306229031,0.03555891165602113,0.005493781033118032,0.15449800843912442
Indonesian,Ridge,avg_max_depth,0.0182645023269505,0.03440709190572214,0.016142589578771637,0.469164601966463
Japanese,Ridge,avg_max_depth,0.0530596537897196,0.08409917916818432,0.031039525378464723,0.3690823820811717
Korean,Ridge,avg_max_depth,0.0219654392846419,0.039589877062279476,0.017624437777637576,0.4451753601030962
Russian,Ridge,avg_max_depth,0.0140535594275892,0.02710641778579173,0.01305285835820253,0.48154125201465753
Arabic,Ridge,avg_subordinate_chain_len,0.0494277986306719,0.0802329627335782,0.030805164102906304,0.38394648599975073
English,Ridge,avg_subordinate_chain_len,0.0154628104781148,0.029568586636657967,0.014105776158543167,0.47705276995064017
Finnish,Ridge,avg_subordinate_chain_len,0.0370485505749417,0.05281370432705187,0.01576515375211017,0.2985049799666306
Indonesian,Ridge,avg_subordinate_chain_len,0.0352834767870278,0.074706423196992,0.0394229464099642,0.5277049110758596
Japanese,Ridge,avg_subordinate_chain_len,0.0695824108894331,0.11006007527374763,0.040477664384314535,0.3677779093248501
Korean,Ridge,avg_subordinate_chain_len,0.0450828193154523,0.06877357292935438,0.023690753613902077,0.3444746667188239
Russian,Ridge,avg_subordinate_chain_len,0.0318440036548939,0.05567103871516533,0.02382703506027143,0.42799695515256686
Arabic,Ridge,lexical_density,0.0678255595327193,0.07065382511290137,0.0028282655801820655,0.040029900372168595
English,Ridge,lexical_density,0.0241041547426598,0.029386728271683333,0.005282573529023532,0.17976051910868046
Finnish,Ridge,lexical_density,0.0582366677730357,0.05605399617588603,-0.002182671597149667,-0.03893873311549257
