experiment_id,source,model,task,is_control,control_index,submetric,languages,test_mse,test_rmse,test_mae,test_r2,val_mse,val_rmse,val_mae,val_r2,train_time,has_per_language_metrics
tfidf_Ridge_complexity_control1_avg_max_depth,tfidf,Ridge,complexity,True,1.0,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.042634976440610955,0.2064823877249848,0.1550775744682072,-0.03620839449959368,0.04172877536367625,0.20427622319711183,0.15770123827908092,-0.10132676289613785,0.06274199485778809,True
tfidf_XGBRegressor_complexity_control1_n_tokens,tfidf,XGBRegressor,complexity,True,1.0,n_tokens,"ar,en,fi,id,ja,ko,ru",0.04008188098669052,0.20020459781606045,0.14609971642494202,-0.02487647533416748,0.03392361104488373,0.18418363403104993,0.13638995587825775,-0.010882854461669922,165.8767614364624,True
tfidf_XGBRegressor_complexity_avg_max_depth,tfidf,XGBRegressor,complexity,False,,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.024972688406705856,0.15802749256602744,0.1162642389535904,0.3930591940879822,0.018239542841911316,0.1350538516367131,0.10044150054454803,0.5186128616333008,172.73836302757263,True
tfidf_XGBRegressor_complexity_control2,tfidf,XGBRegressor,complexity,True,2.0,,"ar,en,fi,id,ja,ko,ru",0.04748661443591118,0.21791423642321117,0.1735936552286148,-0.049275994300842285,0.06018916890025139,0.2453348098013231,0.1994825154542923,-0.08128750324249268,163.50681400299072,True
tfidf_XGBRegressor_complexity_control2_avg_max_depth,tfidf,XGBRegressor,complexity,True,2.0,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.04113255813717842,0.20281163215451528,0.15163633227348328,0.00030666589736938477,0.0402476005256176,0.2006180463607838,0.1506970077753067,-0.06223487854003906,161.032151222229,True
tfidf_XGBRegressor_complexity_control1_avg_subordinate_chain_len,tfidf,XGBRegressor,complexity,True,1.0,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.06318416446447372,0.2513646046373151,0.18295736610889435,-0.21139895915985107,0.06572182476520538,0.25636268208381147,0.17620614171028137,-0.15659892559051514,158.13933420181274,True
tfidf_DummyClassifier_question_type,tfidf,DummyClassifier,question,False,,,"ar,en,fi,id,ja,ko,ru",,,,,,,,,0.0046842098236083984,True
tfidf_XGBRegressor_complexity_control1,tfidf,XGBRegressor,complexity,True,1.0,,"ar,en,fi,id,ja,ko,ru",0.04638424143195152,0.21537001052131544,0.1706438511610031,-0.0249176025390625,0.05997728556394577,0.24490260424084054,0.19969910383224487,-0.07748115062713623,164.26089906692505,True
tfidf_XGBRegressor_complexity_control1_avg_verb_edges,tfidf,XGBRegressor,complexity,True,1.0,avg_verb_edges,"ar,en,fi,id,ja,ko,ru",0.0735052078962326,0.271118438871709,0.22311760485172272,-0.16296744346618652,0.05357370898127556,0.23145995113901574,0.19188499450683594,0.024424970149993896,161.98502850532532,True
tfidf_XGBRegressor_complexity_control2_lexical_density,tfidf,XGBRegressor,complexity,True,2.0,lexical_density,"ar,en,fi,id,ja,ko,ru",0.061648618429899216,0.24829139821971122,0.19883501529693604,-0.39763402938842773,0.041453734040260315,0.20360190087585212,0.1613309383392334,0.17921453714370728,168.10260343551636,True
tfidf_Ridge_complexity_control1_avg_subordinate_chain_len,tfidf,Ridge,complexity,True,1.0,avg_subordinate_chain_len,"ar,en,fi,id,ja,ko,ru",0.06544708224231811,0.25582627355750254,0.18866278723041005,-0.25478496301832276,0.0664186727102652,0.25771820407232626,0.1798711702207721,-0.1688623559625162,0.5295572280883789,True
tfidf_XGBRegressor_complexity_control3_avg_max_depth,tfidf,XGBRegressor,complexity,True,3.0,avg_max_depth,"ar,en,fi,id,ja,ko,ru",0.04083731025457382,0.2020824343048495,0.15132597088813782,0.007482409477233887,0.03932885825634003,0.1983150479825977,0.1494462788105011,-0.03798699378967285,160.79646348953247,True
