task,model_type,language,task_type,train_time_main,train_primary_value_main,train_mse_main,train_r2_main,val_primary_value_main,val_mse_main,val_r2_main,test_primary_value_main,test_mse_main,test_r2_main,train_samples_main,val_samples_main,test_samples_main,train_accuracy_main,train_precision_main,train_recall_main,train_f1_main,val_accuracy_main,val_precision_main,val_recall_main,val_f1_main,test_accuracy_main,test_precision_main,test_recall_main,test_f1_main,train_time_control,train_primary_value_control,train_mse_control,train_r2_control,val_primary_value_control,val_mse_control,val_r2_control,test_primary_value_control,test_mse_control,test_r2_control,train_samples_control,val_samples_control,test_samples_control,train_accuracy_control,train_precision_control,train_recall_control,train_f1_control,val_accuracy_control,val_precision_control,val_recall_control,val_f1_control,test_accuracy_control,test_precision_control,test_recall_control,test_f1_control,test_accuracy_diff,test_accuracy_improvement,test_f1_diff,test_f1_improvement,test_mse_diff,test_mse_improvement,test_r2_diff,test_r2_improvement
lang_norm_complexity_score,DummyRegressor,ar,regression,0.02641606330871582,0.03069736400893835,0.03069736400893835,0.0,0.06639388558127966,0.06639388558127966,-0.02335066369142047,0.05806863504059316,0.05806863504059316,-0.001077383099387319,995,44,77,,,,,,,,,,,,,0.005693912506103516,0.030697364008938344,0.030697364008938344,0.0,0.06639388558127966,0.06639388558127966,-0.02335066369142047,0.058068635040593154,0.058068635040593154,-0.001077383099387319,995.0,44.0,77.0,,,,,,,,,,,,,,,,,6.938893903907228e-18,-6.938893903907228e-18,0.0,0.0
lang_norm_complexity_score,Ridge,ar,regression,0.08076977729797363,0.005919799271590654,0.005919799271590654,0.8071561040268165,0.027991207806873367,0.027991207806873367,0.568562363297427,0.04534300851198102,0.04534300851198102,0.21830674560723173,995,44,77,,,,,,,,,,,,,0.003353595733642578,0.016068559625278395,0.016068559625278395,0.4765492040098424,0.0669110108213127,0.0669110108213127,-0.03132128407259319,0.06377600207052055,0.06377600207052055,-0.09946984654739806,995.0,44.0,77.0,,,,,,,,,,,,,,,,,-0.01843299355853953,0.01843299355853953,0.3177765921546298,0.3177765921546298
lang_norm_complexity_score,XGBRegressor,ar,regression,0.5302181243896484,0.003911957856325268,0.003911957856325268,0.8725637206117699,0.030844986778406913,0.030844986778406913,0.524576135063017,0.034391852779592114,0.034391852779592114,0.40709978878501674,995,44,77,,,,,,,,,,,,,0.41441186269124347,0.014213610063440138,0.014213610063440138,0.5369762022790794,0.07013169565702237,0.07013169565702237,-0.08096275233896762,0.06274928830952407,0.06274928830952407,-0.08176975898150318,995.0,44.0,77.0,,,,,,,,,,,,,,,,,-0.02835743552993196,0.02835743552993196,0.4888695477665199,0.4888695477665199
question_type,DummyClassifier,ar,classification,0.021283864974975586,0.5005025125628141,,,0.5454545454545454,,,0.7142857142857143,,,995,44,77,0.5005025125628141,0.25050276508168984,0.5005025125628141,0.33389183021605007,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.5952380952380952,0.005620400110880534,0.5005025125628141,,,0.5454545454545454,,,0.7142857142857143,,,995.0,44.0,77.0,0.5005025125628141,0.25050276508168984,0.5005025125628141,0.33389183021605007,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.7142857142857143,0.5102040816326531,0.7142857142857143,0.5952380952380952,0.0,0.0,0.0,0.0,,,,
question_type,LogisticRegression,ar,classification,0.004105567932128906,1.0,,,0.9545454545454546,,,0.9090909090909091,,,995,44,77,1.0,1.0,1.0,1.0,0.9545454545454546,0.9586776859504131,0.9545454545454546,0.9546395633352156,0.9090909090909091,0.9222222222222222,0.9090909090909091,0.9115646258503401,0.002937475840250651,0.8284757118927973,,,0.5,,,0.4718614718614718,,,995.0,44.0,77.0,0.8284757118927973,0.8287522867030219,0.8284757118927973,0.8284423265861552,0.5,0.49891777685828026,0.5,0.49892166482994876,0.4718614718614718,0.5517800912537755,0.4718614718614718,0.4962099891177905,0.43722943722943725,0.43722943722943725,0.41535463673254963,0.41535463673254963,,,,
question_type,XGBClassifier,ar,classification,0.23093414306640625,1.0,,,1.0,,,0.974025974025974,,,995,44,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974025974025974,0.974937343358396,0.974025974025974,0.9736394557823128,0.31486717859903973,0.8901172529313234,,,0.45454545454545453,,,0.5324675324675324,,,995.0,44.0,77.0,0.8901172529313234,0.8925612433981268,0.8901172529313234,0.8899638814139809,0.45454545454545453,0.46380914407230195,0.45454545454545453,0.45372327930467465,0.5324675324675324,0.6067232743110472,0.5324675324675324,0.5521660224009217,0.4415584415584416,0.4415584415584416,0.4214734333813911,0.4214734333813911,,,,
avg_verb_edges,DummyRegressor,ar,regression,0.005669832229614258,0.040816270150753765,0.040816270150753765,0.0,0.06568979181818181,0.06568979181818181,-0.14076339507493452,0.12839881974025974,0.12839881974025974,-0.8603162027734947,995,44,77,,,,,,,,,,,,,0.006098190943400065,0.040816270150753765,0.040816270150753765,0.0,0.06568979181818181,0.06568979181818181,-0.14076339507493452,0.12839881974025974,0.12839881974025974,-0.8603162027734946,995.0,44.0,77.0,,,,,,,,,,,,,,,,,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
avg_verb_edges,Ridge,ar,regression,0.003676891326904297,0.009041214337817828,0.009041214337817828,0.7784899427501741,0.03486452791360797,0.03486452791360797,0.3945455430808049,0.09178584284833734,0.09178584284833734,-0.3298462632397885,995,44,77,,,,,,,,,,,,,0.0032008488972981772,0.0210177110767481,0.0210177110767481,0.48506536733709965,0.0767399830748427,0.0767399830748427,-0.33266008625438187,0.13623988128505266,0.13623988128505266,-0.9739220277197864,995.0,44.0,77.0,,,,,,,,,,,,,,,,,-0.04445403843671532,0.04445403843671532,0.6440757644799979,0.6440757644799979
avg_verb_edges,XGBRegressor,ar,regression,0.3580307960510254,0.007650343216033796,0.007650343216033796,0.8125663323038224,0.03068744868528755,0.03068744868528755,0.4670843493413678,0.10412016227671689,0.10412016227671689,-0.5085530015822106,995,44,77,,,,,,,,,,,,,0.5252822240193685,0.0203778333306758,0.0203778333306758,0.50074239377065,0.06861038052042452,0.06861038052042452,-0.19148209262857355,0.13599949474777784,0.13599949474777784,-0.9704391688342796,995.0,44.0,77.0,,,,,,,,,,,,,,,,,-0.03187933247106095,0.03187933247106095,0.461886167252069,0.461886167252069
lexical_density,DummyRegressor,ar,regression,0.0056569576263427734,0.04299051876063736,0.04299051876063736,0.0,0.037514663217434824,0.037514663217434824,-0.09112220389153047,0.06706814484309559,0.06706814484309559,-0.1557406485909567,995,44,77,,,,,,,,,,,,,0.005603631337483724,0.04299051876063736,0.04299051876063736,0.0,0.037514663217434824,0.037514663217434824,-0.09112220389153047,0.06706814484309559,0.06706814484309559,-0.1557406485909567,995.0,44.0,77.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
