task,language,experiment_type,test_primary_value_mean,test_primary_value_std,test_primary_value_count,test_mse_mean,test_mse_std,test_mse_count,test_r2_mean,test_r2_std,test_r2_count,test_samples_mean,test_samples_std,test_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_count,test_recall_mean,test_recall_std,test_recall_count,test_f1_mean,test_f1_std,test_f1_count
avg_links_len,ar,control,0.06560431023656645,0.004541765054393613,9,0.06560431023656645,0.004541765054393613,9,-0.41647938304860077,0.0980624068601725,9,77.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,ar,main,0.05612300245953361,0.010031553133939433,3,0.05612300245953361,0.010031553133939433,3,-0.21176605031059847,0.2165938204813519,3,77.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,en,control,0.01027519090149792,0.0006603009411644067,9,0.01027519090149792,0.0006603009411644067,9,-0.10472595884215423,0.07099153654127102,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,en,main,0.00800200977465308,0.0013483461065949168,3,0.00800200977465308,0.0013483461065949168,3,0.13967263423989415,0.14496596313767834,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,fi,control,0.027763561996994295,0.0010413314936798502,9,0.027763561996994295,0.0010413314936798502,9,-0.5308272922148655,0.057416936304519,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,fi,main,0.02609520611442978,0.0014171018259505764,3,0.02609520611442978,0.0014171018259505764,3,-0.4388374849115566,0.07813616103176944,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,id,control,0.037610784959071976,0.003623217123939762,9,0.037610784959071976,0.003623217123939762,9,-0.6941178479215607,0.163202039075784,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,id,main,0.03781207751968347,0.002353772715021932,3,0.03781207751968347,0.002353772715021932,3,-0.703184750405964,0.10602193947317783,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,ja,control,0.10925769085946668,0.0034674559172169542,9,0.10925769085946668,0.0034674559172169542,9,-1.5696163481623076,0.08155061068308149,9,92.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,ja,main,0.10266643075071034,0.007174436531620168,3,0.10266643075071034,0.007174436531620168,3,-1.4145974236617367,0.16873456921414245,3,92.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,ko,control,0.028830047104201832,0.0029335708504306134,9,0.028830047104201832,0.0029335708504306134,9,-0.25283408868216306,0.1274808032640412,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,ko,main,0.026242203551152334,0.0038725333385027636,3,0.026242203551152334,0.0038725333385027636,3,-0.14037715762969005,0.1682842125959379,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_links_len,ru,control,0.019159476084468805,0.002687361933086032,9,0.019159476084468805,0.002687361933086032,9,-0.13739511538774557,0.159534233738718,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_links_len,ru,main,0.019575197265726537,0.002518792636841112,3,0.019575197265726537,0.002518792636841112,3,-0.16207424747054122,0.14952718065918488,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,ar,control,0.05279227314340965,0.0027947070889455584,9,0.05279227314340965,0.0027947070889455584,9,-0.07039506551059278,0.05666436581407628,9,77.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,ar,main,0.03670723334757963,0.013488714736272308,3,0.03670723334757963,0.013488714736272308,3,0.2557387832673757,0.27349179783496974,3,77.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,en,control,0.030864356810355178,0.002735667835728268,9,0.030864356810355178,0.002735667835728268,9,-0.09181968265966775,0.0967736346044635,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,en,main,0.018556651569185543,0.008561083405720296,3,0.018556651569185543,0.008561083405720296,3,0.34356262299635354,0.3028464006131647,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,fi,control,0.03236090158761615,0.001994390619267839,9,0.03236090158761615,0.001994390619267839,9,-0.06125312129957732,0.06540464467771663,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,fi,main,0.029803357814545153,0.007380231747316078,3,0.029803357814545153,0.007380231747316078,3,0.022619736960668324,0.24202953544256878,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,id,control,0.03401320444068631,0.002019113232921511,9,0.03401320444068631,0.002019113232921511,9,-0.0557797450055642,0.06267386120318807,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,id,main,0.027509367439106935,0.0042620825395145575,3,0.027509367439106935,0.0042620825395145575,3,0.1461012445689269,0.13229627995234394,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,ja,control,0.0837926269794167,0.0025400214012126473,9,0.0837926269794167,0.0025400214012126473,9,-0.23788102707709605,0.03752411655148709,9,92.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,ja,main,0.07072309879905776,0.011034817095422117,3,0.07072309879905776,0.011034817095422117,3,-0.04480292998759975,0.16301900551518092,3,92.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,ko,control,0.039219096290094235,0.001938308849014591,9,0.039219096290094235,0.001938308849014591,9,-0.12327489840306144,0.05551514138281001,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,ko,main,0.031668905093098436,0.0058044061867553115,3,0.031668905093098436,0.0058044061867553115,3,0.09297027428010463,0.16624411030512315,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_max_depth,ru,control,0.026139962202175022,0.00210928096791942,9,0.026139962202175022,0.00210928096791942,9,-0.07167064055081444,0.08647504799390107,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_max_depth,ru,main,0.020426907758202717,0.0037327321309537542,3,0.020426907758202717,0.0037327321309537542,3,0.16254977140387616,0.1530323342797707,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ar,control,0.0789517044193055,0.003853444071650835,9,0.0789517044193055,0.003853444071650835,9,-0.4295365201692326,0.06977226228833011,9,77.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ar,main,0.06341714824674534,0.012219089566122089,3,0.06341714824674534,0.012219089566122089,3,-0.14826057385964353,0.22124455585178102,3,77.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,en,control,0.029002755302637375,0.0025998942958423772,9,0.029002755302637375,0.0025998942958423772,9,-0.18580382122249323,0.1062990243035325,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,en,main,0.022693606659139512,0.006552233742222463,3,0.022693606659139512,0.006552233742222463,3,0.07215141413544361,0.26789398896744887,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,fi,control,0.05607795986764227,0.001712468025397368,9,0.05607795986764227,0.001712468025397368,9,-0.2631981128099128,0.03857462687720673,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,fi,main,0.04899257481627925,0.007107282753746847,3,0.04899257481627925,0.007107282753746847,3,-0.10359449943777706,0.16009687554485785,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,id,control,0.07427855774700402,0.003950876350643848,9,0.07427855774700402,0.003950876350643848,9,-0.41669176746244513,0.0753538325189811,9,110.0,0.0,9,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,id,main,0.059104506242264016,0.009207054110840492,3,0.059104506242264016,0.009207054110840492,3,-0.12728181527899207,0.17560327175220491,3,110.0,0.0,3,,,0,,,0,,,0,,,0
avg_subordinate_chain_len,ja,control,0.0958441833311992,0.006268368614454478,9,0.0958441833311992,0.006268368614454478,9,-0.30252521073615607,0.08518730993095588,9,92.0,0.0,9,,,0,,,0,,,0,,,0
