experiment_type,language,task,submetric,control_index,metric,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
probe,ar,complexity,,,mse,0.0339929051697254,0.0333805195987224,0.0306976158171892,0.0301980506628751,0.0347760245203971,0.0347245000302791,0.0376363806426525,0.0317660756409168,0.0356102660298347,0.0420287624001503,0.0406727008521556,0.0573121793568134
probe,ar,question_type,,,accuracy,0.8571428571428571,0.8571428571428571,0.7662337662337663,0.7792207792207793,0.7272727272727273,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7792207792207793,0.7142857142857143,0.6753246753246753,0.6233766233766234
probe,ar,single_submetric,avg_links_len,,mse,0.0541920587420463,0.0596032403409481,0.058368232101202,0.0556356646120548,0.0499861389398574,0.0451874695718288,0.0497259311378002,0.0491503216326236,0.0542670227587223,0.0550507940351963,0.0566312372684478,0.0725904628634452
probe,ar,single_submetric,avg_links_len,mean_control,mse,0.0751538028319676,0.08854684482018148,0.08087161928415297,0.07852695633967714,0.0768873716394106,0.0775142063697179,0.07325951009988783,0.07191319515307742,0.07461280127366383,0.09617079049348827,0.08788116276264184,0.06408392886320746
probe,ar,single_submetric,avg_max_depth,,mse,0.0327126942574977,0.0380634814500808,0.035520065575838,0.0318708792328834,0.0314974449574947,0.027670407667756,0.034372866153717,0.0326920375227928,0.0390464551746845,0.0369412451982498,0.0391818471252918,0.0533448942005634
probe,ar,single_submetric,avg_max_depth,mean_control,mse,0.06132602070768667,0.06372167915105813,0.06176950782537457,0.062160231173038434,0.055989727377891506,0.053246463338533966,0.05372617269555727,0.058275710791349376,0.05627502997716263,0.057864129543304395,0.06338227167725556,0.05607646331191057
probe,ar,single_submetric,avg_subordinate_chain_len,,mse,0.0736229494214057,0.0786594524979591,0.0795598626136779,0.0792729556560516,0.0715144947171211,0.069061666727066,0.071516640484333,0.0733271539211273,0.074073925614357,0.0745473429560661,0.0799664482474327,0.0796591192483902
probe,ar,single_submetric,avg_subordinate_chain_len,mean_control,mse,0.08436092734336849,0.08812966694434476,0.09149530033270514,0.0906597425540288,0.08263070136308666,0.07833705345789586,0.07798652847607927,0.0802803536256154,0.08231069147586821,0.08477035661538436,0.08978065848350521,0.07677307724952694
probe,ar,single_submetric,avg_verb_edges,,mse,0.1025013029575347,0.1162541508674621,0.1182584762573242,0.1192727908492088,0.1048231497406959,0.108236014842987,0.140143021941185,0.1071120426058769,0.1125178486108779,0.1084993034601211,0.108644351363182,0.1112304404377937
probe,ar,single_submetric,avg_verb_edges,mean_control,mse,0.1327913552522659,0.15052025516827897,0.16428955396016434,0.17192519207795456,0.15066429475943244,0.15115500489870703,0.14157925049463904,0.1538916279872258,0.15782800316810605,0.15381086369355518,0.1537712564071019,0.11910620828469594
