language,task,submetric,model_type,layer,metric,real,control1,control2,control3,control_mean,split
ar,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,test
en,single_submetric,avg_max_depth,DummyRegressor,,mse,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,test
fi,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,test
id,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,test
ja,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,test
ko,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,test
ru,single_submetric,avg_max_depth,DummyRegressor,,mse,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,test
ar,single_submetric,avg_links_len,XGBRegressor,,mse,0.0451553016901016,0.0596331134438514,0.0545205995440483,0.0585391595959663,0.0575642908612886,test
en,single_submetric,avg_links_len,XGBRegressor,,mse,0.0093499133363366,0.0121804606169462,0.011722857132554,0.0117913903668522,0.0118982360387841,test
fi,single_submetric,avg_links_len,XGBRegressor,,mse,0.0215784814208745,0.022873967885971,0.021670950576663,0.0225018691271543,0.0223489291965961,test
id,single_submetric,avg_links_len,XGBRegressor,,mse,0.0243570692837238,0.0352049842476844,0.0352305509150028,0.036507923156023,0.03564781943957,test
ja,single_submetric,avg_links_len,XGBRegressor,,mse,0.0986155420541763,0.1047704666852951,0.1028134077787399,0.1077177450060844,0.1051005398233731,test
ko,single_submetric,avg_links_len,XGBRegressor,,mse,0.017975041642785,0.0263312645256519,0.0285405851900577,0.0288127399981021,0.0278948632379372,test
ru,single_submetric,avg_links_len,XGBRegressor,,mse,0.0225561112165451,0.0215910691767931,0.0215434487909078,0.0199028924107551,0.021012470126152,test
ar,question_type,overall,DummyClassifier,,accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,test
en,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
fi,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
id,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
ja,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
ko,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
ru,question_type,overall,DummyClassifier,,accuracy,0.5,0.5,0.5,0.5,0.5,test
ar,single_submetric,avg_max_depth,Ridge,,mse,0.027878701529974,0.0545536559811195,0.0511130313092803,0.0544842576476242,0.0533836483126746,test
en,single_submetric,avg_max_depth,Ridge,,mse,0.0128012127455848,0.0327974307497045,0.0306688756061273,0.0318685391137806,0.0317782818232041,test
fi,single_submetric,avg_max_depth,Ridge,,mse,0.0300651306229031,0.0345956647781879,0.0390045159729858,0.0330765542168897,0.0355589116560211,test
id,single_submetric,avg_max_depth,Ridge,,mse,0.0182645023269505,0.0346850545176945,0.0320441475747925,0.0364920736246794,0.0344070919057221,test
ja,single_submetric,avg_max_depth,Ridge,,mse,0.0530596537897196,0.0835598592942734,0.0821511766577538,0.0865865015525258,0.0840991791681843,test
ko,single_submetric,avg_max_depth,Ridge,,mse,0.0219654392846419,0.037944766649542,0.0407887321980772,0.0400361323392192,0.0395898770622794,test
ru,single_submetric,avg_max_depth,Ridge,,mse,0.0140535594275892,0.0305808059883247,0.0247708026057784,0.0259676447632721,0.0271064177857917,test
ar,complexity,complexity,DummyRegressor,,mse,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,0.0589210577309131,test
en,complexity,complexity,DummyRegressor,,mse,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,0.0386405438184738,test
fi,complexity,complexity,DummyRegressor,,mse,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,0.0402829088270664,test
id,complexity,complexity,DummyRegressor,,mse,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,0.0407795868813991,test
ja,complexity,complexity,DummyRegressor,,mse,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,0.0630357638001442,test
ko,complexity,complexity,DummyRegressor,,mse,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,0.0356804206967353,test
ru,complexity,complexity,DummyRegressor,,mse,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,0.0590713657438755,test
ar,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0574313700199127,0.0670000463724136,0.0718803033232688,0.0661921650171279,0.0683575049042701,test
en,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0163177829235792,0.0292842891067266,0.0276546701788902,0.0282251797616481,0.0283880463490883,test
fi,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0391304194927215,0.0519094243645668,0.0536698997020721,0.0544141307473182,0.0533311516046523,test
id,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0439334921538829,0.0766122415661811,0.0788221508264541,0.059815626591444,0.0717500063280264,test
ja,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0720668137073516,0.1061915755271911,0.1133792176842689,0.1165786236524581,0.112049805621306,test
ko,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0546709597110748,0.0658425316214561,0.0661271512508392,0.0691906735301017,0.0670534521341323,test
ru,single_submetric,avg_subordinate_chain_len,XGBRegressor,,mse,0.0406591333448886,0.0536313578486442,0.0552598536014556,0.0540330074727535,0.0543080729742844,test
ar,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0284759625792503,0.0503295846283435,0.0510583892464637,0.0513339713215827,0.0509073150654632,test
en,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0116611588746309,0.0328743383288383,0.0276489779353141,0.0291863624006509,0.0299032262216011,test
fi,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0172411613166332,0.0357306897640228,0.036765594035387,0.0343495942652225,0.0356152926882107,test
id,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0285029225051403,0.0332420319318771,0.030579961836338,0.0284854751080274,0.0307691562920808,test
ja,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0633264556527137,0.0878545120358467,0.0905374065041542,0.0902355536818504,0.0895424907406171,test
ko,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0179967172443866,0.0390049405395984,0.0373823009431362,0.0382131189107894,0.0382001201311746,test
ru,single_submetric,avg_max_depth,XGBRegressor,,mse,0.0149314971640706,0.0255890525877475,0.0250174757093191,0.0252894330769777,0.0252986537913481,test
ar,complexity,complexity,XGBRegressor,,mse,0.0424229316413402,0.0562052428722381,0.057950984686613,0.0615024827420711,0.0585529034336407,test
en,complexity,complexity,XGBRegressor,,mse,0.01533043384552,0.040159922093153,0.0398009307682514,0.0418687872588634,0.0406098800400892,test
fi,complexity,complexity,XGBRegressor,,mse,0.0194283053278923,0.0379438363015651,0.0412246063351631,0.0417835526168346,0.0403173317511876,test
id,complexity,complexity,XGBRegressor,,mse,0.019750302657485,0.0418473631143569,0.0405586659908294,0.0400105901062488,0.040805539737145,test
ja,complexity,complexity,XGBRegressor,,mse,0.0282608270645141,0.057965837419033,0.0604071915149688,0.0607750788331031,0.0597160359223683,test
ko,complexity,complexity,XGBRegressor,,mse,0.0156495179980993,0.0361475422978401,0.0369026735424995,0.0378310903906822,0.0369604354103406,test
ru,complexity,complexity,XGBRegressor,,mse,0.0242598485201597,0.0592613965272903,0.0608148574829101,0.0601358115673065,0.0600706885258356,test
ar,single_submetric,lexical_density,XGBRegressor,,mse,0.0673727840185165,0.0674134567379951,0.0689187198877334,0.0676986053586006,0.068010260661443,test
en,single_submetric,lexical_density,XGBRegressor,,mse,0.0282840505242347,0.0339854583144187,0.0311514325439929,0.031054563820362,0.0320638182262578,test
fi,single_submetric,lexical_density,XGBRegressor,,mse,0.0575177185237407,0.05014568567276,0.0569185763597488,0.0565834492444992,0.054549237092336,test
id,single_submetric,lexical_density,XGBRegressor,,mse,0.0398102588951587,0.0617268532514572,0.0735984221100807,0.0600566416978836,0.0651273056864738,test
ja,single_submetric,lexical_density,XGBRegressor,,mse,0.077939473092556,0.0636532083153724,0.0644390136003494,0.0678594186902046,0.0653172135353088,test
ko,single_submetric,lexical_density,XGBRegressor,,mse,0.0626168400049209,0.0810392647981643,0.0793768763542175,0.0794556438922882,0.0799572616815566,test
ru,single_submetric,lexical_density,XGBRegressor,,mse,0.0518310517072677,0.0603289566934108,0.0597748979926109,0.0615767985582351,0.0605602177480856,test
ar,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.10744109749794,0.1229071542620658,0.1257248520851135,0.1239289864897728,0.1241869976123173,test
en,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.050181571394205,0.0667194575071334,0.0607675164937973,0.0640795156359672,0.0638554965456326,test
fi,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.0664499998092651,0.0822582095861435,0.0830441415309906,0.0890615209937095,0.0847879573702812,test
id,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.0773122534155845,0.0700950175523758,0.0740941017866134,0.0747929140925407,0.0729940111438433,test
ja,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.0968089178204536,0.1080954894423484,0.1070510894060134,0.112199068069458,0.1091152156392732,test
ko,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.0371718592941761,0.0392042212188243,0.0408824197947979,0.0355036295950412,0.0385300902028878,test
ru,single_submetric,avg_verb_edges,XGBRegressor,,mse,0.0454679317772388,0.0457377359271049,0.0479658357799053,0.0513028129935264,0.0483354615668455,test
ar,complexity,complexity,Ridge,,mse,0.0383486786909414,0.0624711313972201,0.0641881825050343,0.0681968445250552,0.0649520528091032,test
en,complexity,complexity,Ridge,,mse,0.0202918706770314,0.0425737584398021,0.0417675411811053,0.0425237695956173,0.0422883564055082,test
fi,complexity,complexity,Ridge,,mse,0.0281276106200392,0.0374426075372978,0.0435525423333653,0.0419183205435827,0.0409711568047486,test
id,complexity,complexity,Ridge,,mse,0.0210186370545752,0.0445482790189448,0.0427626072124966,0.0481201091007723,0.0451436651107379,test
ja,complexity,complexity,Ridge,,mse,0.0355114785647435,0.0588218669806546,0.0570572262503694,0.0701896437230243,0.0620229123180161,test
ko,complexity,complexity,Ridge,,mse,0.0190589824799033,0.0366108968899961,0.0376362137950081,0.0409381401429348,0.038395083609313,test
ru,complexity,complexity,Ridge,,mse,0.0260710696889433,0.0660211675589707,0.0579510807451696,0.0646503418196503,0.0628741967079302,test
ar,single_submetric,n_tokens,XGBRegressor,,mse,0.0376175865530967,0.0733201801776886,0.0722022876143455,0.0771559700369834,0.0742261459430058,test
en,single_submetric,n_tokens,XGBRegressor,,mse,0.0183263104408979,0.0260500591248273,0.0243929997086524,0.0265314485877752,0.0256581691404183,test
fi,single_submetric,n_tokens,XGBRegressor,,mse,0.0114493938162922,0.0170996394008398,0.0189639776945114,0.0180315468460321,0.0180317213137944,test
id,single_submetric,n_tokens,XGBRegressor,,mse,0.0349365174770355,0.0313070490956306,0.0330189280211925,0.0283255260437726,0.0308838343868652,test
ja,single_submetric,n_tokens,XGBRegressor,,mse,0.0282169114798307,0.0647917687892913,0.0646638646721839,0.062894307076931,0.0641166468461354,test
ko,single_submetric,n_tokens,XGBRegressor,,mse,0.0333123840391635,0.0676255598664283,0.0668108463287353,0.068296231329441,0.0675775458415348,test
ru,single_submetric,n_tokens,XGBRegressor,,mse,0.0089824656024575,0.0143938418477773,0.0148400207981467,0.0152848875150084,0.0148395833869774,test
ar,single_submetric,avg_verb_edges,Ridge,,mse,0.0905166101641355,0.1164934531424105,0.1309330528424253,0.1304091962502552,0.1259452340783636,test
en,single_submetric,avg_verb_edges,Ridge,,mse,0.0452925471327799,0.0706038606889086,0.0638451445237932,0.0651029794548882,0.06651732822253,test
fi,single_submetric,avg_verb_edges,Ridge,,mse,0.0661138561069919,0.0841884158302555,0.0893843093624351,0.0921129285466099,0.0885618845797668,test
id,single_submetric,avg_verb_edges,Ridge,,mse,0.0696084322401399,0.0730927063959032,0.0732534091577908,0.0792809969017935,0.0752090374851625,test
ja,single_submetric,avg_verb_edges,Ridge,,mse,0.0941966525014839,0.1005827650304602,0.1090257874864059,0.1115290103835405,0.1070458543001355,test
ko,single_submetric,avg_verb_edges,Ridge,,mse,0.0377534540249676,0.0395541751432741,0.0488515373643492,0.0354171346997731,0.0412742824024654,test
ru,single_submetric,avg_verb_edges,Ridge,,mse,0.0419691869629715,0.0529146396041749,0.0463379642418295,0.0542701264790569,0.0511742434416871,test
ar,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0494277986306719,0.0773614504321878,0.079381802476142,0.0839556352924048,0.0802329627335782,test
en,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0154628104781148,0.0288806495939968,0.0299724323234565,0.0298526779925206,0.0295685866366579,test
fi,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0370485505749417,0.0499807054875461,0.0527445258447442,0.0557158816488653,0.0528137043270518,test
id,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0352834767870278,0.0762488177278367,0.0713188638712342,0.0765515879919051,0.074706423196992,test
ja,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0695824108894331,0.1087141779287049,0.1058930582207126,0.1155729896718254,0.1100600752737476,test
ko,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0450828193154523,0.0711960917925989,0.0616790738033208,0.0734455531921434,0.0687735729293543,test
ru,single_submetric,avg_subordinate_chain_len,Ridge,,mse,0.0318440036548939,0.0564020633935432,0.053076940649082,0.0575341121028708,0.0556710387151653,test
ar,single_submetric,lexical_density,DummyRegressor,,mse,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,0.072571150958538,test
en,single_submetric,lexical_density,DummyRegressor,,mse,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,0.035381905734539,test
fi,single_submetric,lexical_density,DummyRegressor,,mse,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,0.048890296369791,test
id,single_submetric,lexical_density,DummyRegressor,,mse,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438659,0.0529543757438658,test
ja,single_submetric,lexical_density,DummyRegressor,,mse,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,0.0630531162023544,test
ko,single_submetric,lexical_density,DummyRegressor,,mse,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,0.0399788543581962,test
ru,single_submetric,lexical_density,DummyRegressor,,mse,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,0.0451964437961578,test
ar,single_submetric,avg_links_len,DummyRegressor,,mse,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,0.0636129155755043,test
en,single_submetric,avg_links_len,DummyRegressor,,mse,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,0.0115983262658119,test
fi,single_submetric,avg_links_len,DummyRegressor,,mse,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,0.0197583604604005,test
id,single_submetric,avg_links_len,DummyRegressor,,mse,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,0.0338220559060573,test
ja,single_submetric,avg_links_len,DummyRegressor,,mse,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,0.0955040529370307,test
ko,single_submetric,avg_links_len,DummyRegressor,,mse,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,0.0272975992411375,test
ru,single_submetric,avg_links_len,DummyRegressor,,mse,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,0.021772077307105,test
ar,single_submetric,n_tokens,Ridge,,mse,0.0382494411190466,0.0814282705344884,0.0750463839723014,0.0864672160874054,0.0809806235313984,test
en,single_submetric,n_tokens,Ridge,,mse,0.0268395356320768,0.03057341460509,0.0297189607478755,0.0305273363716992,0.0302732372415549,test
fi,single_submetric,n_tokens,Ridge,,mse,0.0145329849322847,0.0169102338603093,0.0198974833192018,0.018038100323091,0.018281939167534,test
id,single_submetric,n_tokens,Ridge,,mse,0.0220306895665391,0.0358195630748672,0.033899262143861,0.0354499602559166,0.0350562618248816,test
ja,single_submetric,n_tokens,Ridge,,mse,0.0348731746475535,0.059211942460617,0.0598445372404404,0.0639172946414835,0.0609912581141803,test
ko,single_submetric,n_tokens,Ridge,,mse,0.0462046010926254,0.0702004679483795,0.0720852173903895,0.0718375157995107,0.0713744003794265,test
ru,single_submetric,n_tokens,Ridge,,mse,0.0116103156783622,0.0158543746890705,0.0151759654951289,0.0157510107715439,0.0155937836519144,test
ar,single_submetric,n_tokens,DummyRegressor,,mse,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,test
en,single_submetric,n_tokens,DummyRegressor,,mse,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,test
fi,single_submetric,n_tokens,DummyRegressor,,mse,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,test
id,single_submetric,n_tokens,DummyRegressor,,mse,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,test
ja,single_submetric,n_tokens,DummyRegressor,,mse,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,test
ko,single_submetric,n_tokens,DummyRegressor,,mse,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,test
ru,single_submetric,n_tokens,DummyRegressor,,mse,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,test
ar,question_type,overall,LogisticRegression,,accuracy,0.987012987012987,0.5194805194805194,0.4545454545454545,0.5844155844155844,0.5194805194805194,test
en,question_type,overall,LogisticRegression,,accuracy,0.7909090909090909,0.509090909090909,0.4272727272727272,0.5727272727272728,0.503030303030303,test
fi,question_type,overall,LogisticRegression,,accuracy,0.8454545454545455,0.4727272727272727,0.4454545454545454,0.4090909090909091,0.4424242424242424,test
id,question_type,overall,LogisticRegression,,accuracy,0.5727272727272728,0.4545454545454545,0.5363636363636364,0.4272727272727272,0.4727272727272726,test
ja,question_type,overall,LogisticRegression,,accuracy,0.6521739130434783,0.5217391304347826,0.5434782608695652,0.5543478260869565,0.5398550724637681,test
ko,question_type,overall,LogisticRegression,,accuracy,0.6636363636363637,0.5454545454545454,0.4363636363636363,0.4727272727272727,0.4848484848484848,test
ru,question_type,overall,LogisticRegression,,accuracy,0.8,0.3818181818181818,0.4454545454545454,0.6363636363636364,0.4878787878787878,test
ar,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,test
en,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,test
fi,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,test
id,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,test
ja,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356383,test
ko,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,test
ru,single_submetric,avg_verb_edges,DummyRegressor,,mse,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,test
ar,question_type,overall,XGBClassifier,,accuracy,0.987012987012987,0.5064935064935064,0.5844155844155844,0.4285714285714285,0.5064935064935064,test
en,question_type,overall,XGBClassifier,,accuracy,0.7363636363636363,0.5181818181818182,0.4636363636363636,0.5454545454545454,0.5090909090909091,test
fi,question_type,overall,XGBClassifier,,accuracy,0.8090909090909091,0.4636363636363636,0.4454545454545454,0.4727272727272727,0.4606060606060605,test
id,question_type,overall,XGBClassifier,,accuracy,0.6909090909090909,0.5272727272727272,0.5,0.4727272727272727,0.5,test
ja,question_type,overall,XGBClassifier,,accuracy,0.6413043478260869,0.5108695652173914,0.5543478260869565,0.5108695652173914,0.5253623188405797,test
ko,question_type,overall,XGBClassifier,,accuracy,0.6636363636363637,0.5454545454545454,0.509090909090909,0.4818181818181818,0.5121212121212121,test
ru,question_type,overall,XGBClassifier,,accuracy,0.8727272727272727,0.4454545454545454,0.4818181818181818,0.8,0.5757575757575758,test
ar,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,test
en,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.024715645238757,test
fi,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,test
id,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,test
ja,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,test
ko,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,test
ru,single_submetric,avg_subordinate_chain_len,DummyRegressor,,mse,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,test
ar,single_submetric,avg_links_len,Ridge,,mse,0.0396468728597336,0.0650368838091583,0.0609747123923637,0.0678907438657478,0.0646341133557566,test
en,single_submetric,avg_links_len,Ridge,,mse,0.0063291946217137,0.011205070255704,0.0105996692334925,0.0129460510363453,0.0115835968418472,test
fi,single_submetric,avg_links_len,Ridge,,mse,0.0178179830623748,0.0233950912494846,0.0222270832494752,0.0253820551333931,0.0236680765441176,test
id,single_submetric,avg_links_len,Ridge,,mse,0.0263448763543937,0.0362438350816276,0.0353316097189432,0.0372178580471906,0.0362644342825871,test
ja,single_submetric,avg_links_len,Ridge,,mse,0.0757571722221237,0.1068893062560196,0.1069637187140345,0.1066755145030401,0.1068428464910313,test
ko,single_submetric,avg_links_len,Ridge,,mse,0.0200660760247972,0.0263883658213615,0.0264222607197322,0.0282746872594461,0.0270284379335132,test
