model_type,language,task,submetric,control_index,layer_index,metric,value
DummyRegressor,ar,complexity,complexity,,,mse,0.0589210577309131
DummyRegressor,ar,complexity,complexity,mean_control,,mse,0.0589210577309131
XGBRegressor,ar,complexity,complexity,,,mse,0.0424229316413402
XGBRegressor,ar,complexity,complexity,mean_control,,mse,0.0585529034336407
Ridge,ar,complexity,complexity,,,mse,0.0383486786909414
Ridge,ar,complexity,complexity,mean_control,,mse,0.0649520528091032
DummyClassifier,ar,question_type,overall,,,accuracy,0.7142857142857143
DummyClassifier,ar,question_type,overall,mean_control,,accuracy,0.7142857142857143
LogisticRegression,ar,question_type,overall,,,accuracy,0.987012987012987
LogisticRegression,ar,question_type,overall,mean_control,,accuracy,0.5194805194805194
XGBClassifier,ar,question_type,overall,,,accuracy,0.987012987012987
XGBClassifier,ar,question_type,overall,mean_control,,accuracy,0.5064935064935064
XGBRegressor,ar,single_submetric,avg_links_len,,,mse,0.0451553016901016
XGBRegressor,ar,single_submetric,avg_links_len,mean_control,,mse,0.0575642908612886
DummyRegressor,ar,single_submetric,avg_links_len,,,mse,0.0636129155755043
DummyRegressor,ar,single_submetric,avg_links_len,mean_control,,mse,0.0636129155755043
Ridge,ar,single_submetric,avg_links_len,,,mse,0.0396468728597336
Ridge,ar,single_submetric,avg_links_len,mean_control,,mse,0.0646341133557566
DummyRegressor,ar,single_submetric,avg_max_depth,,,mse,0.0522785559296608
DummyRegressor,ar,single_submetric,avg_max_depth,mean_control,,mse,0.0522785559296608
Ridge,ar,single_submetric,avg_max_depth,,,mse,0.027878701529974
Ridge,ar,single_submetric,avg_max_depth,mean_control,,mse,0.0533836483126746
XGBRegressor,ar,single_submetric,avg_max_depth,,,mse,0.0284759625792503
XGBRegressor,ar,single_submetric,avg_max_depth,mean_control,,mse,0.0509073150654632
XGBRegressor,ar,single_submetric,avg_subordinate_chain_len,,,mse,0.0574313700199127
XGBRegressor,ar,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0683575049042701
Ridge,ar,single_submetric,avg_subordinate_chain_len,,,mse,0.0494277986306719
Ridge,ar,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0802329627335782
DummyRegressor,ar,single_submetric,avg_subordinate_chain_len,,,mse,0.0664701163768768
DummyRegressor,ar,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0664701163768768
XGBRegressor,ar,single_submetric,avg_verb_edges,,,mse,0.10744109749794
XGBRegressor,ar,single_submetric,avg_verb_edges,mean_control,,mse,0.1241869976123173
Ridge,ar,single_submetric,avg_verb_edges,,,mse,0.0905166101641355
Ridge,ar,single_submetric,avg_verb_edges,mean_control,,mse,0.1259452340783636
DummyRegressor,ar,single_submetric,avg_verb_edges,,,mse,0.0978853702545166
DummyRegressor,ar,single_submetric,avg_verb_edges,mean_control,,mse,0.0978853702545166
XGBRegressor,ar,single_submetric,lexical_density,,,mse,0.0673727840185165
XGBRegressor,ar,single_submetric,lexical_density,mean_control,,mse,0.068010260661443
DummyRegressor,ar,single_submetric,lexical_density,,,mse,0.072571150958538
DummyRegressor,ar,single_submetric,lexical_density,mean_control,,mse,0.072571150958538
Ridge,ar,single_submetric,lexical_density,,,mse,0.0678255595327193
Ridge,ar,single_submetric,lexical_density,mean_control,,mse,0.0706538251129013
XGBRegressor,ar,single_submetric,n_tokens,,,mse,0.0376175865530967
XGBRegressor,ar,single_submetric,n_tokens,mean_control,,mse,0.0742261459430058
Ridge,ar,single_submetric,n_tokens,,,mse,0.0382494411190466
Ridge,ar,single_submetric,n_tokens,mean_control,,mse,0.0809806235313984
DummyRegressor,ar,single_submetric,n_tokens,,,mse,0.078075423836708
DummyRegressor,ar,single_submetric,n_tokens,mean_control,,mse,0.078075423836708
DummyRegressor,en,complexity,complexity,,,mse,0.0386405438184738
DummyRegressor,en,complexity,complexity,mean_control,,mse,0.0386405438184738
XGBRegressor,en,complexity,complexity,,,mse,0.01533043384552
XGBRegressor,en,complexity,complexity,mean_control,,mse,0.0406098800400892
Ridge,en,complexity,complexity,,,mse,0.0202918706770314
Ridge,en,complexity,complexity,mean_control,,mse,0.0422883564055082
DummyClassifier,en,question_type,overall,,,accuracy,0.5
DummyClassifier,en,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,en,question_type,overall,,,accuracy,0.7909090909090909
LogisticRegression,en,question_type,overall,mean_control,,accuracy,0.503030303030303
XGBClassifier,en,question_type,overall,,,accuracy,0.7363636363636363
XGBClassifier,en,question_type,overall,mean_control,,accuracy,0.5090909090909091
XGBRegressor,en,single_submetric,avg_links_len,,,mse,0.0093499133363366
XGBRegressor,en,single_submetric,avg_links_len,mean_control,,mse,0.0118982360387841
DummyRegressor,en,single_submetric,avg_links_len,,,mse,0.0115983262658119
DummyRegressor,en,single_submetric,avg_links_len,mean_control,,mse,0.0115983262658119
Ridge,en,single_submetric,avg_links_len,,,mse,0.0063291946217137
Ridge,en,single_submetric,avg_links_len,mean_control,,mse,0.0115835968418472
DummyRegressor,en,single_submetric,avg_max_depth,,,mse,0.028998551890254
DummyRegressor,en,single_submetric,avg_max_depth,mean_control,,mse,0.028998551890254
Ridge,en,single_submetric,avg_max_depth,,,mse,0.0128012127455848
Ridge,en,single_submetric,avg_max_depth,mean_control,,mse,0.0317782818232041
XGBRegressor,en,single_submetric,avg_max_depth,,,mse,0.0116611588746309
XGBRegressor,en,single_submetric,avg_max_depth,mean_control,,mse,0.0299032262216011
XGBRegressor,en,single_submetric,avg_subordinate_chain_len,,,mse,0.0163177829235792
XGBRegressor,en,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0283880463490883
Ridge,en,single_submetric,avg_subordinate_chain_len,,,mse,0.0154628104781148
Ridge,en,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0295685866366579
DummyRegressor,en,single_submetric,avg_subordinate_chain_len,,,mse,0.0247156452387571
DummyRegressor,en,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.024715645238757
XGBRegressor,en,single_submetric,avg_verb_edges,,,mse,0.050181571394205
XGBRegressor,en,single_submetric,avg_verb_edges,mean_control,,mse,0.0638554965456326
Ridge,en,single_submetric,avg_verb_edges,,,mse,0.0452925471327799
Ridge,en,single_submetric,avg_verb_edges,mean_control,,mse,0.06651732822253
DummyRegressor,en,single_submetric,avg_verb_edges,,,mse,0.0600053220987319
DummyRegressor,en,single_submetric,avg_verb_edges,mean_control,,mse,0.0600053220987319
XGBRegressor,en,single_submetric,lexical_density,,,mse,0.0282840505242347
XGBRegressor,en,single_submetric,lexical_density,mean_control,,mse,0.0320638182262578
DummyRegressor,en,single_submetric,lexical_density,,,mse,0.035381905734539
DummyRegressor,en,single_submetric,lexical_density,mean_control,,mse,0.035381905734539
Ridge,en,single_submetric,lexical_density,,,mse,0.0241041547426598
Ridge,en,single_submetric,lexical_density,mean_control,,mse,0.0293867282716833
XGBRegressor,en,single_submetric,n_tokens,,,mse,0.0183263104408979
XGBRegressor,en,single_submetric,n_tokens,mean_control,,mse,0.0256581691404183
Ridge,en,single_submetric,n_tokens,,,mse,0.0268395356320768
Ridge,en,single_submetric,n_tokens,mean_control,,mse,0.0302732372415549
DummyRegressor,en,single_submetric,n_tokens,,,mse,0.0232008695602417
DummyRegressor,en,single_submetric,n_tokens,mean_control,,mse,0.0232008695602417
DummyRegressor,fi,complexity,complexity,,,mse,0.0402829088270664
DummyRegressor,fi,complexity,complexity,mean_control,,mse,0.0402829088270664
XGBRegressor,fi,complexity,complexity,,,mse,0.0194283053278923
XGBRegressor,fi,complexity,complexity,mean_control,,mse,0.0403173317511876
Ridge,fi,complexity,complexity,,,mse,0.0281276106200392
Ridge,fi,complexity,complexity,mean_control,,mse,0.0409711568047486
DummyClassifier,fi,question_type,overall,,,accuracy,0.5
DummyClassifier,fi,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,fi,question_type,overall,,,accuracy,0.8454545454545455
LogisticRegression,fi,question_type,overall,mean_control,,accuracy,0.4424242424242424
XGBClassifier,fi,question_type,overall,,,accuracy,0.8090909090909091
XGBClassifier,fi,question_type,overall,mean_control,,accuracy,0.4606060606060605
XGBRegressor,fi,single_submetric,avg_links_len,,,mse,0.0215784814208745
XGBRegressor,fi,single_submetric,avg_links_len,mean_control,,mse,0.0223489291965961
DummyRegressor,fi,single_submetric,avg_links_len,,,mse,0.0197583604604005
DummyRegressor,fi,single_submetric,avg_links_len,mean_control,,mse,0.0197583604604005
Ridge,fi,single_submetric,avg_links_len,,,mse,0.0178179830623748
Ridge,fi,single_submetric,avg_links_len,mean_control,,mse,0.0236680765441176
DummyRegressor,fi,single_submetric,avg_max_depth,,,mse,0.0352695845067501
DummyRegressor,fi,single_submetric,avg_max_depth,mean_control,,mse,0.0352695845067501
Ridge,fi,single_submetric,avg_max_depth,,,mse,0.0300651306229031
Ridge,fi,single_submetric,avg_max_depth,mean_control,,mse,0.0355589116560211
XGBRegressor,fi,single_submetric,avg_max_depth,,,mse,0.0172411613166332
XGBRegressor,fi,single_submetric,avg_max_depth,mean_control,,mse,0.0356152926882107
XGBRegressor,fi,single_submetric,avg_subordinate_chain_len,,,mse,0.0391304194927215
XGBRegressor,fi,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0533311516046523
Ridge,fi,single_submetric,avg_subordinate_chain_len,,,mse,0.0370485505749417
Ridge,fi,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0528137043270518
DummyRegressor,fi,single_submetric,avg_subordinate_chain_len,,,mse,0.0468291230499744
DummyRegressor,fi,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0468291230499744
XGBRegressor,fi,single_submetric,avg_verb_edges,,,mse,0.0664499998092651
XGBRegressor,fi,single_submetric,avg_verb_edges,mean_control,,mse,0.0847879573702812
Ridge,fi,single_submetric,avg_verb_edges,,,mse,0.0661138561069919
Ridge,fi,single_submetric,avg_verb_edges,mean_control,,mse,0.0885618845797668
DummyRegressor,fi,single_submetric,avg_verb_edges,,,mse,0.0752254799008369
DummyRegressor,fi,single_submetric,avg_verb_edges,mean_control,,mse,0.0752254799008369
XGBRegressor,fi,single_submetric,lexical_density,,,mse,0.0575177185237407
XGBRegressor,fi,single_submetric,lexical_density,mean_control,,mse,0.054549237092336
DummyRegressor,fi,single_submetric,lexical_density,,,mse,0.048890296369791
DummyRegressor,fi,single_submetric,lexical_density,mean_control,,mse,0.048890296369791
Ridge,fi,single_submetric,lexical_density,,,mse,0.0582366677730357
Ridge,fi,single_submetric,lexical_density,mean_control,,mse,0.056053996175886
XGBRegressor,fi,single_submetric,n_tokens,,,mse,0.0114493938162922
XGBRegressor,fi,single_submetric,n_tokens,mean_control,,mse,0.0180317213137944
Ridge,fi,single_submetric,n_tokens,,,mse,0.0145329849322847
Ridge,fi,single_submetric,n_tokens,mean_control,,mse,0.018281939167534
DummyRegressor,fi,single_submetric,n_tokens,,,mse,0.0222799722105264
DummyRegressor,fi,single_submetric,n_tokens,mean_control,,mse,0.0222799722105264
DummyRegressor,id,complexity,complexity,,,mse,0.0407795868813991
DummyRegressor,id,complexity,complexity,mean_control,,mse,0.0407795868813991
XGBRegressor,id,complexity,complexity,,,mse,0.019750302657485
XGBRegressor,id,complexity,complexity,mean_control,,mse,0.040805539737145
Ridge,id,complexity,complexity,,,mse,0.0210186370545752
Ridge,id,complexity,complexity,mean_control,,mse,0.0451436651107379
DummyClassifier,id,question_type,overall,,,accuracy,0.5
DummyClassifier,id,question_type,overall,mean_control,,accuracy,0.5
LogisticRegression,id,question_type,overall,,,accuracy,0.5727272727272728
LogisticRegression,id,question_type,overall,mean_control,,accuracy,0.4727272727272726
XGBClassifier,id,question_type,overall,,,accuracy,0.6909090909090909
XGBClassifier,id,question_type,overall,mean_control,,accuracy,0.5
XGBRegressor,id,single_submetric,avg_links_len,,,mse,0.0243570692837238
XGBRegressor,id,single_submetric,avg_links_len,mean_control,,mse,0.03564781943957
DummyRegressor,id,single_submetric,avg_links_len,,,mse,0.0338220559060573
DummyRegressor,id,single_submetric,avg_links_len,mean_control,,mse,0.0338220559060573
Ridge,id,single_submetric,avg_links_len,,,mse,0.0263448763543937
Ridge,id,single_submetric,avg_links_len,mean_control,,mse,0.0362644342825871
DummyRegressor,id,single_submetric,avg_max_depth,,,mse,0.0326110012829303
DummyRegressor,id,single_submetric,avg_max_depth,mean_control,,mse,0.0326110012829303
Ridge,id,single_submetric,avg_max_depth,,,mse,0.0182645023269505
Ridge,id,single_submetric,avg_max_depth,mean_control,,mse,0.0344070919057221
XGBRegressor,id,single_submetric,avg_max_depth,,,mse,0.0285029225051403
XGBRegressor,id,single_submetric,avg_max_depth,mean_control,,mse,0.0307691562920808
XGBRegressor,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0439334921538829
XGBRegressor,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0717500063280264
Ridge,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0352834767870278
Ridge,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.074706423196992
DummyRegressor,id,single_submetric,avg_subordinate_chain_len,,,mse,0.0711118429899215
DummyRegressor,id,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0711118429899215
