model_key,task,model_type,experiment_type,submetric,source,layer,split,language,metric,value,is_control,control_index
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,mse,0.06487950682640076,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,rmse,0.25471455951005384,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,mae,0.2046888768672943,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ar,r2,-9.059906005859375e-06,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mse,0.04681095480918884,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,rmse,0.21635839435803927,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,mae,0.17533499002456665,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,en,r2,-0.11850905418395996,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mse,0.07390546053647995,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,rmse,0.2718555876499138,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,mae,0.22340241074562073,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,fi,r2,-0.12728559970855713,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mse,0.05401737987995148,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,rmse,0.23241639331155511,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,mae,0.1905544102191925,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,id,r2,-0.2919987440109253,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mse,0.06678894907236099,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,rmse,0.258435580120774,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,mae,0.21695291996002197,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ja,r2,-0.08852124214172363,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,mse,0.054173365235328674,False,
dummy_complexity_all,complexity,DummyRegressor,monolingual,,baseline,,val,ko,rmse,0.23275172445189032,False,
