language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
ar,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0522785559296608,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,
en,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,0.028998551890254,3.469446951953614e-18,1.1964207609689798e-14,single_submetric,DummyRegressor,mse,test,avg_max_depth,
fi,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0352695845067501,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,
id,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0326110012829303,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,
ja,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0944695398211479,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,
ko,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0354413166642189,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_max_depth,
ru,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,0.0247595012187957,3.469446951953614e-18,1.4012588223384118e-14,single_submetric,DummyRegressor,mse,test,avg_max_depth,
ar,0.0451553016901016,0.0596331134438514,0.0545205995440483,0.0585391595959663,0.0575642908612886,0.012408989171187,21.556748090736875,single_submetric,XGBRegressor,mse,test,avg_links_len,
en,0.0093499133363366,0.0121804606169462,0.011722857132554,0.0117913903668522,0.0118982360387841,0.0025483227024475,21.417651273187744,single_submetric,XGBRegressor,mse,test,avg_links_len,
fi,0.0215784814208745,0.022873967885971,0.021670950576663,0.0225018691271543,0.0223489291965961,0.0007704477757216,3.447358792648315,single_submetric,XGBRegressor,mse,test,avg_links_len,
id,0.0243570692837238,0.0352049842476844,0.0352305509150028,0.036507923156023,0.03564781943957,0.0112907501558462,31.673045738425227,single_submetric,XGBRegressor,mse,test,avg_links_len,
ja,0.0986155420541763,0.1047704666852951,0.1028134077787399,0.1077177450060844,0.1051005398233731,0.0064849977691968,6.170280171819488,single_submetric,XGBRegressor,mse,test,avg_links_len,
ko,0.017975041642785,0.0263312645256519,0.0285405851900577,0.0288127399981021,0.0278948632379372,0.0099198215951522,35.56146345131099,single_submetric,XGBRegressor,mse,test,avg_links_len,
ru,0.0225561112165451,0.0215910691767931,0.0215434487909078,0.0199028924107551,0.021012470126152,-0.0015436410903931,-7.3463095063340225,single_submetric,XGBRegressor,mse,test,avg_links_len,
ar,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,question_type,DummyClassifier,accuracy,test,overall,
